PLAYER_NAME,Total_Shots,Total_Points,Total_xP,TEAM_NAME,Overperformance,xP_per_Shot,Overperf_per_Shot,GamesPlayed,Team
Colin Castleton,95,94,104.595985,Toronto Raptors,-10.595985412597656,1.1010103727641858,-0.1115366885536595,26,TOR
Marvin Bagley III,96,103,113.9296,Washington Wizards,-10.929603576660156,1.1867667039235432,-0.1138500372568766,31,MEM
Moussa Diabaté,276,328,359.581,Charlotte Hornets,-31.58099365234375,1.302829687146173,-0.1144238900447237,71,CHA
Ousmane Dieng,116,118,131.54286,Oklahoma City Thunder,-13.542861938476562,1.133990189124798,-0.1167488098144531,37,OKC
Jamal Cain,143,137,154.34137,New Orleans Pelicans,-17.34136962890625,1.0793102771252183,-0.1212683190832605,37,NOP
Matt Ryan,28,26,29.400467,New York Knicks,-3.4004669189453125,1.0500166756766185,-0.1214452471051897,19,NYK
Ja'Kobe Walter,350,337,380.26187,Toronto Raptors,-43.261871337890625,1.0864624895368304,-0.1236053466796875,52,TOR
Isaiah Jackson,22,26,28.752224,Indiana Pacers,-2.7522239685058594,1.306919271295721,-0.125101089477539,5,IND
Vince Williams Jr.,160,150,170.16371,Memphis Grizzlies,-20.16371154785156,1.0635231971740722,-0.1260231971740722,27,MEM
Charles Bassey,115,132,146.52101,San Antonio Spurs,-14.521011352539062,1.274095750891644,-0.1262696639351223,36,SAS
Tristan da Silva,459,447,505.3303,Orlando Magic,-58.330291748046875,1.1009374547887731,-0.1270812456384463,74,ORL
Trayce Jackson-Davis,290,332,368.99603,Golden State Warriors,-36.99603271484375,1.272400112809806,-0.1275725266029095,62,GSW
A.J. Lawson,170,175,196.81998,Toronto Raptors,-21.819976806640625,1.1577645694508272,-0.1283528047449448,26,TOR
DeAndre Jordan,136,174,191.47273,Denver Nuggets,-17.472732543945312,1.4078877392937157,-0.1284759745878332,56,DEN
Kyshawn George,505,472,537.1041,Washington Wizards,-65.1041259765625,1.0635725266862623,-0.1289190613397277,68,WAS
Malcolm Brogdon,231,210,239.98875,Washington Wizards,-29.988754272460938,1.0389123561578395,-0.1298214470669304,24,WAS
Dejounte Murray,477,427,488.9276,New Orleans Pelicans,-61.9276123046875,1.0250054765297432,-0.1298272794647536,31,NOP
Wendell Moore Jr.,118,116,131.40012,Detroit Pistons,-15.400115966796877,1.113560304803363,-0.1305094573457362,36,CHA
Jordan Miller,125,114,130.3579,LA Clippers,-16.357894897460938,1.0428631591796875,-0.1308631591796875,37,LAC
Ausar Thompson,423,461,516.90186,Detroit Pistons,-55.90185546875,1.2219902020537825,-0.1321556866873522,59,DET
Julian Phillips,245,262,294.5767,Chicago Bulls,-32.576690673828125,1.2023538394850128,-0.1329660843829719,79,CHI
Dalano Banton,480,435,499.00208,Portland Trail Blazers,-64.0020751953125,1.0395876566569011,-0.133337656656901,67,POR
Adama Sanogo,7,8,8.935011,Chicago Bulls,-0.9350109100341796,1.2764301300048828,-0.1335729871477399,4,CHI
Herbert Jones,158,150,171.22928,New Orleans Pelicans,-21.229278564453125,1.0837296111674248,-0.1343625225598299,20,NOP
Jaden Springer,86,77,88.61461,Utah Jazz,-11.614608764648438,1.030402427495912,-0.1350535902866097,43,UTA
Alex Len,61,64,72.30368,Sacramento Kings,-8.303680419921875,1.1853062363921618,-0.1361259085233094,46,LAL
Noah Clowney,355,348,396.81326,Brooklyn Nets,-48.813262939453125,1.117783839266065,-0.13750214912522,46,BKN
